pipeline,ROUGE_L,BLEU,BERTScore
Fusion GPT4o,0.2977379855109498,0.047550203644757004,0.8588207364082336
Hybrid Mistral,0.27115077256237535,0.03834499223532137,0.8514801859855652
Fusion Mistral,0.26898243236157415,0.039257117124301605,0.8498402237892151
Dense GPT4o,0.23854421599913855,0.03155282132114614,0.8473993539810181
Dense Mistral,0.24322433702702573,0.022642626271091978,0.847247302532196
Fusion Llama3,0.24302630386155602,0.0352812675214991,0.84527587890625
Hybrid Llama3,0.23893520573963553,0.0379049267671247,0.8433330059051514
Hybrid GPT4o,0.19153633693357885,0.013576867518336297,0.8418980240821838
Dense Llama3,0.2373342309900915,0.028731446208645713,0.8387263417243958
